Уютный домик на природе.	Отличный вид на город и удобства для комфортного проживания.	2022-04-15	Москва	preview_image.jpg	photo12.jpg	true	true	5.0	apartment	2	4	1500	Breakfast;Air conditioning;Laptop friendly workspace;Washer;Towels	another_author	5	59.9343, 30.3351
Уютный домик на природе.	Отличный вид на город и удобства для комфортного проживания.	2022-04-16	Санкт-Петербург	preview_image2.jpg	photo3.jpg;photo4.jpg	true	false	4.5	house	4	6	1500	Air conditioning;Laptop friendly workspace;Washer;Towels;Fridge	another_author	5	59.9343, 30.3351
Уютный домик на природе.	Отличный вид на город и удобства для комфортного проживания.	2022-04-15	Москва	preview_image2.jpg	photo1.jpg;photo2.jpg;photo3.jpg;photo4.jpg;photo5.jpg;photo6.jpg;photo7.jpg;photo8.jpg;photo9.jpg;photo10.jpg;photo11.jpg	false	true	4.5	apartment	4	4	1500	Air conditioning	another_author	5	59.9343, 30.3351
Уютный домик на природе.	Отличный вид на город и удобства для комфортного проживания.	2022-04-15	Москва	preview_image.jpg	photo8.jpg;photo9.jpg;photo10.jpg;photo11.jpg;photo12.jpg	false	true	5.0	apartment	2	6	2500	Laptop friendly workspace;Washer;Towels;Fridge	another_author	10	55.7558, 37.6176
Уютная квартира в самом центре города.	Домик для отдыха в окружении природы. Свежий воздух и уединение.	2022-04-15	Москва	preview_image2.jpg	photo6.jpg;photo7.jpg;photo8.jpg;photo9.jpg;photo10.jpg;photo11.jpg;photo12.jpg	true	false	5.0	house	2	4	1500	Washer;Towels;Fridge	another_author	10	59.9343, 30.3351
Уютный домик на природе.	Отличный вид на город и удобства для комфортного проживания.	2022-04-16	Москва	preview_image.jpg	photo4.jpg;photo5.jpg;photo6.jpg;photo7.jpg;photo8.jpg;photo9.jpg	true	true	5.0	apartment	2	4	2500	Fridge	another_author	5	55.7558, 37.6176
Уютная квартира в самом центре города.	Домик для отдыха в окружении природы. Свежий воздух и уединение.	2022-04-15	Санкт-Петербург	preview_image.jpg	photo9.jpg;photo10.jpg;photo11.jpg;photo12.jpg	false	false	4.5	house	2	6	1500	Laptop friendly workspace;Washer;Towels;Fridge	another_author	10	55.7558, 37.6176
Уютная квартира в самом центре города.	Домик для отдыха в окружении природы. Свежий воздух и уединение.	2022-04-16	Москва	preview_image.jpg	photo7.jpg;photo8.jpg;photo9.jpg;photo10.jpg;photo11.jpg;photo12.jpg	true	true	4.5	house	4	4	1500	Laptop friendly workspace;Washer	another_author	5	55.7558, 37.6176
Уютный домик на природе.	Отличный вид на город и удобства для комфортного проживания.	2022-04-15	Санкт-Петербург	preview_image.jpg	photo3.jpg;photo4.jpg;photo5.jpg;photo6.jpg;photo7.jpg;photo8.jpg	true	false	4.5	apartment	4	6	2500	Breakfast	another_author	10	59.9343, 30.3351
Уютный домик на природе.	Отличный вид на город и удобства для комфортного проживания.	2022-04-16	Москва	preview_image2.jpg	photo10.jpg;photo11.jpg;photo12.jpg	false	false	5.0	house	4	6	2500	Washer;Towels;Fridge	another_author	10	55.7558, 37.6176
Уютный домик на природе.	Домик для отдыха в окружении природы. Свежий воздух и уединение.	2022-04-15	Москва	preview_image2.jpg	photo9.jpg;photo10.jpg;photo11.jpg;photo12.jpg	false	true	4.5	apartment	2	6	1500	Washer;Towels;Fridge	another_author	5	59.9343, 30.3351
Уютная квартира в самом центре города.	Домик для отдыха в окружении природы. Свежий воздух и уединение.	2022-04-16	Москва	preview_image2.jpg	photo6.jpg;photo7.jpg;photo8.jpg;photo9.jpg;photo10.jpg;photo11.jpg	true	false	4.5	house	4	4	2500	Breakfast;Air conditioning	another_author	5	55.7558, 37.6176
Уютный домик на природе.	Отличный вид на город и удобства для комфортного проживания.	2022-04-16	Санкт-Петербург	preview_image2.jpg	photo4.jpg;photo5.jpg;photo6.jpg;photo7.jpg;photo8.jpg	false	true	5.0	house	2	4	2500	Laptop friendly workspace;Washer;Towels	another_author	10	55.7558, 37.6176
Уютная квартира в самом центре города.	Домик для отдыха в окружении природы. Свежий воздух и уединение.	2022-04-16	Санкт-Петербург	preview_image2.jpg	photo8.jpg;photo9.jpg;photo10.jpg;photo11.jpg;photo12.jpg	true	false	5.0	apartment	2	4	1500	Laptop friendly workspace;Washer;Towels	another_author	10	55.7558, 37.6176
Уютный домик на природе.	Отличный вид на город и удобства для комфортного проживания.	2022-04-15	Москва	preview_image.jpg	photo12.jpg	false	true	4.5	house	4	6	2500	Washer;Towels;Fridge	another_author	10	55.7558, 37.6176
Уютный домик на природе.	Домик для отдыха в окружении природы. Свежий воздух и уединение.	2022-04-16	Москва	preview_image.jpg	photo9.jpg;photo10.jpg;photo11.jpg;photo12.jpg	false	false	5.0	apartment	4	6	2500	Breakfast;Air conditioning;Laptop friendly workspace;Washer;Towels;Fridge	another_author	5	55.7558, 37.6176
Уютная квартира в самом центре города.	Домик для отдыха в окружении природы. Свежий воздух и уединение.	2022-04-15	Москва	preview_image2.jpg	photo10.jpg;photo11.jpg;photo12.jpg	true	true	5.0	apartment	4	6	2500	Washer;Towels;Fridge	another_author	5	59.9343, 30.3351
Уютный домик на природе.	Домик для отдыха в окружении природы. Свежий воздух и уединение.	2022-04-16	Санкт-Петербург	preview_image2.jpg	photo9.jpg;photo10.jpg;photo11.jpg;photo12.jpg	false	true	5.0	house	4	6	2500	Towels;Fridge	another_author	10	55.7558, 37.6176
Уютный домик на природе.	Отличный вид на город и удобства для комфортного проживания.	2022-04-15	Санкт-Петербург	preview_image.jpg	photo11.jpg;photo12.jpg	true	true	4.5	apartment	4	4	1500	Breakfast;Air conditioning;Laptop friendly workspace;Washer	another_author	5	59.9343, 30.3351
Уютный домик на природе.	Домик для отдыха в окружении природы. Свежий воздух и уединение.	2022-04-15	Санкт-Петербург	preview_image2.jpg	photo11.jpg;photo12.jpg	false	false	5.0	house	4	6	2500	Washer;Towels;Fridge	another_author	10	55.7558, 37.6176
Уютный домик на природе.	Отличный вид на город и удобства для комфортного проживания.	2022-04-15	Москва	preview_image2.jpg	photo11.jpg;photo12.jpg	false	true	4.5	apartment	2	6	1500	Towels;Fridge	another_author	5	55.7558, 37.6176
Уютный домик на природе.	Отличный вид на город и удобства для комфортного проживания.	2022-04-15	Москва	preview_image.jpg	photo10.jpg;photo11.jpg;photo12.jpg	true	false	4.5	apartment	4	6	1500	Laptop friendly workspace;Washer;Towels;Fridge	another_author	5	59.9343, 30.3351
Уютная квартира в самом центре города.	Домик для отдыха в окружении природы. Свежий воздух и уединение.	2022-04-15	Санкт-Петербург	preview_image2.jpg	photo11.jpg;photo12.jpg	true	true	4.5	apartment	4	4	1500	Washer;Towels;Fridge	another_author	10	59.9343, 30.3351
Уютная квартира в самом центре города.	Отличный вид на город и удобства для комфортного проживания.	2022-04-15	Санкт-Петербург	preview_image2.jpg	photo11.jpg;photo12.jpg	false	false	5.0	apartment	4	4	2500	Fridge	another_author	5	55.7558, 37.6176
Уютная квартира в самом центре города.	Домик для отдыха в окружении природы. Свежий воздух и уединение.	2022-04-15	Санкт-Петербург	preview_image2.jpg	photo1.jpg;photo2.jpg;photo3.jpg;photo4.jpg	true	false	4.5	apartment	4	6	2500	Laptop friendly workspace;Washer;Towels	another_author	5	59.9343, 30.3351
Уютная квартира в самом центре города.	Отличный вид на город и удобства для комфортного проживания.	2022-04-16	Москва	preview_image.jpg	photo12.jpg	false	true	5.0	house	4	6	2500	Towels;Fridge	another_author	5	55.7558, 37.6176
Уютная квартира в самом центре города.	Отличный вид на город и удобства для комфортного проживания.	2022-04-16	Москва	preview_image.jpg	photo1.jpg	false	true	5.0	apartment	2	4	1500	Laptop friendly workspace;Washer;Towels;Fridge	another_author	5	59.9343, 30.3351
Уютный домик на природе.	Отличный вид на город и удобства для комфортного проживания.	2022-04-16	Санкт-Петербург	preview_image2.jpg	photo5.jpg;photo6.jpg;photo7.jpg;photo8.jpg;photo9.jpg;photo10.jpg;photo11.jpg;photo12.jpg	true	true	4.5	apartment	2	6	1500	Breakfast;Air conditioning	another_author	5	55.7558, 37.6176
Уютная квартира в самом центре города.	Отличный вид на город и удобства для комфортного проживания.	2022-04-15	Санкт-Петербург	preview_image.jpg	photo9.jpg;photo10.jpg;photo11.jpg;photo12.jpg	true	true	5.0	house	4	6	2500	Air conditioning;Laptop friendly workspace;Washer;Towels	another_author	5	55.7558, 37.6176
Уютная квартира в самом центре города.	Домик для отдыха в окружении природы. Свежий воздух и уединение.	2022-04-15	Санкт-Петербург	preview_image.jpg	photo12.jpg	true	false	5.0	apartment	4	6	2500	Breakfast;Air conditioning;Laptop friendly workspace;Washer	another_author	10	55.7558, 37.6176
Уютная квартира в самом центре города.	Домик для отдыха в окружении природы. Свежий воздух и уединение.	2022-04-16	Санкт-Петербург	preview_image.jpg	photo5.jpg;photo6.jpg;photo7.jpg;photo8.jpg;photo9.jpg;photo10.jpg;photo11.jpg;photo12.jpg	true	false	4.5	apartment	4	6	1500	Air conditioning;Laptop friendly workspace	another_author	10	55.7558, 37.6176
Уютная квартира в самом центре города.	Домик для отдыха в окружении природы. Свежий воздух и уединение.	2022-04-15	Санкт-Петербург	preview_image.jpg	photo6.jpg;photo7.jpg;photo8.jpg;photo9.jpg;photo10.jpg;photo11.jpg;photo12.jpg	true	true	4.5	apartment	4	4	2500	Fridge	another_author	10	59.9343, 30.3351
Уютная квартира в самом центре города.	Домик для отдыха в окружении природы. Свежий воздух и уединение.	2022-04-16	Санкт-Петербург	preview_image.jpg	photo6.jpg;photo7.jpg;photo8.jpg;photo9.jpg;photo10.jpg;photo11.jpg;photo12.jpg	true	true	5.0	apartment	4	6	1500	Fridge	another_author	10	55.7558, 37.6176
